# Datum der Auswertung: 01.02.2025
# Zeitraum der Auswertung: 01.01.2025 - 31.01.2025
# Z‰hlpunkte:
# DE00721470567000ZE000003260753VS0 NNA/LGS_Saldo_Bosch Batterie Speicher Wernau Junkersstr. P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE00721470567000ZE000003260754VS0 NNA/LGS_Eigenbedarf Batterie-Speicher Wernau Junkersstr. P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE00721470567EM0ZE000003260755VS0 VNA/EGS Saldo_Bosch Batterie Speicher Wernau Junkersstr. ‹berschuﬂ P- Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung P- Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q1 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q2 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q3 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q4 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000923228 Bosch Wernau Eigenbedarf Batterie-Speicher Abrechnung Bezug P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000923228 Bosch Wernau Eigenbedarf Batterie-Speicher Abrechnung Bezug Q1 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000923228 Bosch Wernau Eigenbedarf Batterie-Speicher Abrechnung Bezug Q4 Robert Bosch GmbH Batteriespeicher Wernau
Datum/Zeit;NNA/LGS_Saldo_Bosch Batterie Speicher Wernau Junkersstr. P+;NNA/LGS_Eigenbedarf Batterie-Speicher Wernau Junkersstr. P+;VNA/EGS Saldo_Bosch Batterie Speicher Wernau Junkersstr. ‹berschuﬂ P-;Bosch Wernau Batterie-Speicher Abrechnung P+;Bosch Wernau Batterie-Speicher Abrechnung P-;Bosch Wernau Batterie-Speicher Abrechnung Q1;Bosch Wernau Batterie-Speicher Abrechnung Q2;Bosch Wernau Batterie-Speicher Abrechnung Q3;Bosch Wernau Batterie-Speicher Abrechnung Q4;Bosch Wernau Eigenbedarf Batterie-Speicher Abrechnung Bezug P+;Bosch Wernau Eigenbedarf Batterie-Speicher Abrechnung Bezug Q1;Bosch Wernau Eigenbedarf Batterie-Speicher Abrechnung Bezug Q4
01.01.2025 00:15;0;1,316;61,9958;0,12;60,8;0,04;6,92;4,52;0,56;1,29;0;1,225
01.01.2025 00:30;0;1,377;83,697;0,24;82,56;0,04;14,88;1,28;1,16;1,35;0;1,145
01.01.2025 00:45;0;1,306;21,3856;0,48;20,56;0,04;0,16;5,12;3,28;1,28;0;1,22
01.01.2025 01:00;169,629;1,331;0;170,96;0;19,04;0;0;0,12;1,305;0;1,2
01.01.2025 01:15;0,673;1,367;66,72;2,04;66,72;0,08;10,64;2,16;1,36;1,34;0;1,14
01.01.2025 01:30;159,211;1,469;0;160,68;0;10,48;0;0;1,52;1,44;0,02;1,035
01.01.2025 01:45;1,184;1,336;21,8;2,52;21,8;0,16;0,68;4,16;3,92;1,31;0;1,16
01.01.2025 02:00;4,378;1,382;7,36;5,76;7,36;0,08;0;2,4;5,88;1,355;0;1,11
01.01.2025 02:15;0;1,413;76,8927;0,24;75,72;0,04;14,36;2,4;1,32;1,385;0;1,075
01.01.2025 02:30;0;1,306;12,7056;1,12;12,52;0;0,08;3,24;5,16;1,28;0;1,21
01.01.2025 02:45;0,262;1,418;34,88;1,68;34,88;0,12;1,64;4,56;2,92;1,39;0;1,07
01.01.2025 03:00;5,14;1,301;0,6;6,44;0,6;0,6;0;0,24;8,92;1,275;0;1,21
01.01.2025 03:15;107,839;1,321;0;109,16;0;1,88;0;0;6,12;1,295;0;1,205
01.01.2025 03:30;2,747;1,413;21,44;4,16;21,44;0,16;0,32;4,24;3,84;1,385;0;1,065
01.01.2025 03:45;3,678;1,362;3,68;5,04;3,68;0,24;0,04;1,28;7,16;1,335;0;1,12
01.01.2025 04:00;12,544;1,336;2,44;13,88;2,44;0,28;0,08;0,28;11,72;1,31;0;1,17
01.01.2025 04:15;0;1,311;46,0707;1,08;45,84;0;6,28;2,92;2,76;1,285;0;1,205
01.01.2025 04:30;0,58;1,301;3,6;1,88;3,6;0,16;0;1,12;8;1,275;0;1,2
01.01.2025 04:45;0,014;1,346;17,36;1,36;17,36;0,12;0,08;4,36;4,72;1,32;0;1,13
01.01.2025 05:00;168,093;1,387;0;169,48;0;5,64;0;0;0,6;1,36;0;1,115
01.01.2025 05:15;1,9;1,54;5,04;3,44;5,04;0,24;0;1,96;9,76;1,51;0;0,95
01.01.2025 05:30;0;1,55;15,5104;0,68;14,64;0,04;0,08;4,08;4,52;1,52;0;0,985
01.01.2025 05:45;1,721;1,479;23,04;3,2;23,04;0,04;0,12;5,04;4,76;1,45;0;1,015
01.01.2025 06:00;4,14;1,301;6,84;5,44;6,84;0,08;0;2,16;8,72;1,275;0;1,195
