# Datum der Auswertung: 01.02.2025
# Zeitraum der Auswertung: 01.01.2025 - 01.02.2025
# Z‰hlpunkte:
# DE00721470567000ZE000003260753VS0 NNA/LGS_Saldo_Bosch Batterie Speicher Wernau Junkersstr. P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE00721470567EM0ZE000003260755VS0 VNA/EGS Saldo_Bosch Batterie Speicher Wernau Junkersstr. ‹berschuﬂ P- Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung P- Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q1 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q2 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q3 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q4 Robert Bosch GmbH Batteriespeicher Wernau
Datum/Zeit;NNA/LGS_Saldo_Bosch Batterie Speicher Wernau Junkersstr. P+;VNA/EGS Saldo_Bosch Batterie Speicher Wernau Junkersstr. ‹berschuﬂ P-;Bosch Wernau Batterie-Speicher Abrechnung P+;Bosch Wernau Batterie-Speicher Abrechnung P-;Bosch Wernau Batterie-Speicher Abrechnung Q1;Bosch Wernau Batterie-Speicher Abrechnung Q2;Bosch Wernau Batterie-Speicher Abrechnung Q3;Bosch Wernau Batterie-Speicher Abrechnung Q4
01.01.2025 00:15;0;61,9958;0,12;60,8;0,04;6,92;4,52;0,56
01.01.2025 00:30;0;83,697;0,24;82,56;0,04;14,88;1,28;1,16
01.01.2025 00:45;0;21,3856;0,48;20,56;0,04;0,16;5,12;3,28
01.01.2025 01:00;169,629;0;170,96;0;19,04;0;0;0,12
01.01.2025 01:15;0,673;66,72;2,04;66,72;0,08;10,64;2,16;1,36
01.01.2025 01:30;159,211;0;160,68;0;10,48;0;0;1,52
01.01.2025 01:45;1,184;21,8;2,52;21,8;0,16;0,68;4,16;3,92
01.01.2025 02:00;4,378;7,36;5,76;7,36;0,08;0;2,4;5,88
01.01.2025 02:15;0;76,8927;0,24;75,72;0,04;14,36;2,4;1,32
01.01.2025 02:30;0;12,7056;1,12;12,52;0;0,08;3,24;5,16
01.01.2025 02:45;0,262;34,88;1,68;34,88;0,12;1,64;4,56;2,92
01.01.2025 03:00;5,14;0,6;6,44;0,6;0,6;0;0,24;8,92
01.01.2025 03:15;107,839;0;109,16;0;1,88;0;0;6,12
01.01.2025 03:30;2,747;21,44;4,16;21,44;0,16;0,32;4,24;3,84
01.01.2025 03:45;3,678;3,68;5,04;3,68;0,24;0,04;1,28;7,16
01.01.2025 04:00;12,544;2,44;13,88;2,44;0,28;0,08;0,28;11,72
01.01.2025 04:15;0;46,0707;1,08;45,84;0;6,28;2,92;2,76
01.01.2025 04:30;0,58;3,6;1,88;3,6;0,16;0;1,12;8
01.01.2025 04:45;0,014;17,36;1,36;17,36;0,12;0,08;4,36;4,72
01.01.2025 05:00;168,093;0;169,48;0;5,64;0;0;0,6
01.01.2025 05:15;1,9;5,04;3,44;5,04;0,24;0;1,96;9,76
